fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/catalogNumber",16,20561,17251,false,false,false,"1216344(*1), 2063779(*1), 2494180(*1), 6869494(*1), CBG 8317432.1(*1), HO 514394(*1), MEL 1500563A(*1), OPP651621-7(*2), RVPO29832-130520(*2), RVPU29833-29427(*2), SBCAI0027001(*1), SIXRI0091080(*1), SIXRI0835198(*1), SPJGI3469832(*1), SPJGI3937766(*1), SPJGI3950720(*1), SPJGI4037981(*1), SPJGI4037986(*1), SPJGI4301856(*1), SUP15354-62(*2), ..."
AbcdConcept0850,20473,104,94,false,true,true,"1048764(*1), 1058926(*1), 1133350(*1), 1133352(*1), 14610(*1), 29222(*1), 389089(*1), 390595(*1), 390839(*1), 394592(*1), 395326(*2), 397741(*2), 398912(*1), 408717(*1), 408724(*1), 590968(*1), 635567(*1), 644820(*1), 646569(*1), 989008(*2), ..."
AbcdConcept1433,20573,4,4,false,false,false,"3 metre high tree. large, long, green leaves. clustered flowers on rods 7cm long. coastal shrub, disturbed.(*1), Edge of cliff(*1), Large plant. 10 m wide x 5 m tall. Yellow flowers(*1), Upright wide bush, large wide leaves that are near vertical on stem. Large green long bean-like seed pods and bunches of dried open twisted seed pods. Seeds exposed.(*1)"
"Altitude out of range",12848,7729,1,false,true,true,"0(*7729)"
"Altitude value non-numeric",12848,7729,2,false,true,true,"0(*7648), 1(*81)"
"Altitude value supplied in feet",12848,7729,2,false,true,true,"0(*7724), 1(*5)"
"http://rs.tdwg.org/dwc/terms/associatedMedia",20552,25,25,false,false,false,"/data/biocache-media/dr689/17210/fb9c94a9-037b-4719-b67f-9b003ab22c6e/Acacia_longifolia_subsp._longifolia_1-079.jpg(*1), /data/biocache-media/dr689/557/de7f55f1-5c26-4186-b8a0-802ea9f57575/raw(*1), /data/biocache-media/dr689/702/b506cf20-5bfe-4b6e-ba43-14016e2594bf/Acacia_longifolia_subsp._longifolia_1-080.jpg(*1), 008a+Acacia+longifolia+ssp+sophorae.jpg(*1), 0_image_3eb3bb99-4573-4c28-a0b0-381dc1aef5c2.jpg(*1), 0_image_43715754-f56a-44c5-8b71-69db43b9c593.jpg;1_image_d05f7dcf-6f5f-4f58-be4b-b406a0e5a59a.jpg;2_image_cdced759-fae4-466b-95df-1b229e94d8c9.jpg;3_image_ea9990c4-d6de-41b9-b585-6887651efb6e.jpg(*1), 0_image_6325db05-eeab-41d6-b1dd-df012705a9a9.jpg(*1), 0_image_75b4122b-b63b-4f34-90af-5db757e1947c.jpg(*1), 0_image_8951d75c-d91a-4937-b089-a6200fb282bf.jpg;1_image_7de4c356-ccfc-4a90-9518-737d8a69009a.jpg;2_image_cf1dfbed-143e-4277-aaf2-9a7257e20fac.jpg;3_image_a27c79cb-81cc-4b13-ae82-0b0274f4cc99.jpg(*1), 0_image_ced8f6bb-5791-4c2b-9816-81497012086d.jpg(*1), 128375630958.jpg;128375606521.jpg(*1), 134263-Full1024.jpg(*1), 33128.jpg(*1), 53ef3e17e35eb19002000001.jpg(*1), 541e661ce35eb1d53d000097.jpg(*1), 9181-Full1024.jpg(*1), ;;(*1), Acacia+longifolia+subsp.+sophorae.jpg(*1), NE62513-1.jpg(*1), original.jpg(*1), ..."
"http://rs.tdwg.org/dwc/terms/associatedOccurrences",19466,1111,699,false,false,false,"0b014880-775a-4c49-910b-92ad721f27f5(*2), 0e891a22-be26-405e-8228-d03726cea59b(*4), 1a48047a-998d-487e-9aa6-0613fb476b8c|ece71d53-5223-42d9-a8e6-85544f8c1fd8(*1), 3273e861-ab0d-4ef5-a893-52b2882677d5(*1), 41a1d836-faf6-4068-ace2-d501506cd5c0|d17100a3-d36c-4579-b0d3-04b6c043b5d2|aba090ce-18a2-4d7d-bab5-0fa3cf721314|a6092f47-af35-4cfd-b9f6-1c2599a2d502|6e07452d-6a90-4956-85ea-4602dbc74d93(*1), 4b791191-2897-48d7-b0c1-b5911bb18eeb(*1), 4bf53376-e654-44ef-baf8-a062f6905146|28fa821a-1484-4850-a471-4cfa2a47b10c|8656702c-e091-4ed5-b7b9-486170524649(*1), 575981c4-582e-4332-bb78-ce4b06ed1f89(*1), 6286ebc1-2f49-4ce4-b2ee-4d1c1163742f(*1), 71314e63-29f1-455b-beae-7681593747c4|cf99f19b-e881-4e61-b565-f37c6c5f9d88(*1), 8967e77d-f7c7-4b66-b50d-791e5598e712(*1), aa1ed664-8224-47e4-af78-c845344b0f09(*1), aa24e459-966c-4f90-aa9b-475364852690(*1), b3b3c922-7780-4c42-995c-108643d51764(*1), c3ed8527-47e2-4189-9830-46788dc02ba0(*1), cc67d730-24d4-488f-a0d8-6f1471684fc1(*2), f1e49ef3-33df-4a10-a5ea-9eac28696be4(*1), f47eaf0c-02cb-4df4-8427-60b7a406381f(*2), f63796f3-bc8c-4ee5-a0cc-9bd5572617ac(*1), f980e8d2-d087-4753-a4d0-5bae509a86a8(*1), ..."
"Badly formed altitude",12848,7729,1,false,true,true,"0(*7729)"
"Basis of record badly formed",12848,7729,2,false,true,true,"0(*7726), 1(*3)"
